Date,RateType,ExchangeRate,Source,LoadTimestampUTC
2026-04-06,Parallel FX,634.95,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-07,Parallel FX,634.52,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-08,Parallel FX,635.85,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-09,Parallel FX,634.87,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-10,Parallel FX,637.5,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-11,Parallel FX,633.4,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-12,Parallel FX,630.23,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-13,Parallel FX,636.5,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-14,Parallel FX,639.94,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-15,Parallel FX,626.7,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-16,Parallel FX,622.67,DolarAPI Paralelo Histórico (calendar-filled),2026-04-17T12:48:23.703923+00:00
2026-04-17,Parallel FX,622.16,DolarAPI Paralelo,2026-04-17T12:50:04.979602+00:00
2026-04-18,Parallel FX,619.25,DolarAPI Paralelo,2026-04-18T09:34:36.048528+00:00
