Date,RateType,ExchangeRate,Source,LoadTimestampUTC,OfficialCarriedForward,ParallelCarriedForward
2024-02-21,Official FX,36.2951,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-22,Official FX,36.2315,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-23,Official FX,36.2329,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-24,Official FX,36.2329,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-25,Official FX,36.2329,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-26,Official FX,36.0698,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-27,Official FX,36.0706,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-28,Official FX,36.0955,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-02-29,Official FX,36.1304,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-01,Official FX,36.1518,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-02,Official FX,36.1518,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-03,Official FX,36.1518,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-04,Official FX,36.0801,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-05,Official FX,36.0933,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-06,Official FX,36.1318,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-07,Official FX,36.1726,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-08,Official FX,36.1331,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-09,Official FX,36.1331,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-10,Official FX,36.1331,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-11,Official FX,36.1903,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-12,Official FX,36.2005,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-13,Official FX,36.2368,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-14,Official FX,36.2633,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-15,Official FX,36.276,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-16,Official FX,36.276,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-17,Official FX,36.276,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-18,Official FX,36.3167,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-19,Official FX,36.3167,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-20,Official FX,36.2653,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-21,Official FX,36.2861,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-22,Official FX,36.3217,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-23,Official FX,36.3217,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-24,Official FX,36.3217,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-25,Official FX,36.3555,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-26,Official FX,36.3006,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-27,Official FX,36.334,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-28,Official FX,36.334,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-29,Official FX,36.334,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-30,Official FX,36.334,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-03-31,Official FX,36.334,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-01,Official FX,36.2896,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-02,Official FX,36.2611,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-03,Official FX,36.286,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-04,Official FX,36.2493,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-05,Official FX,36.2105,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-06,Official FX,36.2105,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-07,Official FX,36.2105,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-08,Official FX,36.2274,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-09,Official FX,36.1809,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-10,Official FX,36.2251,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-11,Official FX,36.1883,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-12,Official FX,36.2804,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-13,Official FX,36.2804,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-14,Official FX,36.2804,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-15,Official FX,36.2947,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-16,Official FX,36.2889,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-17,Official FX,36.2974,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-18,Official FX,36.3265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-19,Official FX,36.3265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-20,Official FX,36.3265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-21,Official FX,36.3265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-22,Official FX,36.3421,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-23,Official FX,36.3506,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-24,Official FX,36.3877,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-25,Official FX,36.4231,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-26,Official FX,36.4311,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-27,Official FX,36.4311,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-28,Official FX,36.4311,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-29,Official FX,36.4324,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-04-30,Official FX,36.4262,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-01,Official FX,36.4262,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-02,Official FX,36.473,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-03,Official FX,36.5099,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-04,Official FX,36.5099,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-05,Official FX,36.5099,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-06,Official FX,36.5849,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-07,Official FX,36.5763,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-08,Official FX,36.5621,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-09,Official FX,36.5828,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-10,Official FX,36.5865,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-11,Official FX,36.5865,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-12,Official FX,36.5865,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-13,Official FX,36.5865,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-14,Official FX,36.6101,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-15,Official FX,36.5949,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-16,Official FX,36.6042,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-17,Official FX,36.6265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-18,Official FX,36.6265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-19,Official FX,36.6265,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-20,Official FX,36.5717,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-21,Official FX,36.5703,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-22,Official FX,36.5589,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-23,Official FX,36.5464,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-24,Official FX,36.5219,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-25,Official FX,36.5219,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-26,Official FX,36.5219,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-27,Official FX,36.5129,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-28,Official FX,36.5119,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-29,Official FX,36.5103,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-30,Official FX,36.5114,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-05-31,Official FX,36.5372,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-01,Official FX,36.5372,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-02,Official FX,36.5372,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-03,Official FX,36.5372,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-04,Official FX,36.5344,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-05,Official FX,36.5408,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-06,Official FX,36.524,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
